Business Name,Category,Address,Phone,Email,Website URL,Website Status,Notes
"Bílanes bifreiðaverkst, bílamálun og réttingar",bílaverkstæði,"Bygggörðum 8, 170 Seltjarnarnesi",5611190,bilanes@bilanes.is,https://www.bilanes.is/,Modern,
Bílar & tjón ehf bílasprautun og réttingar,bílamálun,"Skemmuvegi 44m, bleik gata, 200 Kópavogi",8985070,bilarogtjon@bilarogtjon.is,http://bilarogtjon.is/,Aging,
Bílnet ehf,bílaréttingar,"Fitjabraut 30, 260 Reykjanesbæ",6985693,bilnet@bilnet.is,http://www.bilnet.is/,Modern,
Íslensk-bandaríska bílaumboð,bílaumboð,"Þverholti 6, 270 Mosfellsbæ",5902300,isband@isband.is,https://www.jeep.is/model/grand-cherokee-4xe/,Modern,
"HEKLA, bílaumboð",bílaumboð,"Laugavegi 174, 105 Reykjavík",5905035,hekla@hekla.is,http://www.hekla.is/,Modern,
Eðalbílar ehf,bílaverkstæði,"Funahöfða 15, 110 Reykjavík",5105050,edalbilar@edalbilar.is,http://www.edalbilar.is/,Modern,
Bílastoð ehf,"bílaréttingar, bílamálun","Smiðjuvegi 38, rauð gata, 200 Kópavogi",5640606,bilastod@bilastod.is,https://www.bilastod.is/,Modern,
Bílaforritun ehf,bílaverkstæði,"Stekkjarbakka 6, 109 Reykjavík",4909090,bilaforritun@bilaforritun.is,https://bilaforritun.is/reiknivel/,Modern,
Söludeild Mercedes-Benz - Askja,"bílaverkstæði, bílaumboð, varahlutaverslun","Krókhálsi 11, 110 Reykjavík",5902120,askja@askja.is,,No Website,
B B bílaréttingar ehf,"bílaverkstæði, bílaréttingar","Viðarhöfða 6, 110 Reykjavík",5672350,bbbilarettingar@gmail.com,https://www.bbbilarettingar.is/boka-fria-tjonaskodun/,Modern,
Landfari ehf,bílaverkstæði,"Desjamýri 10, 270 Mosfellsbæ",5937500,landfari@landfari.is,https://www.landfari.is/,Modern,
Bílrúðan ehf,"bílaverkstæði, rúðuísetning","Smiðjuvegi 14, græn gata, 200 Kópavogi",5525780,bilrudan@bilrudan.is,http://bilrudan.is/,Modern,
Gæðasprautun ehf,"bílaverkstæði, bílaréttingar, bílamálun","Súðarvogi 38, 104 Reykjavík",5571515,gspr@gspr.is,https://gaedasprautun.is/,Modern,
BílrúðuMeistarinn slf,rúðuísetning,"Dalvegi 18, 201 Kópavogi",5711133,brm@brm.is,http://www.bilrudumeistarinn.is,Modern,
Neyðarþjónusta Austurlands,dráttarbílaþjónusta,"Álaugarvegi 2, 780 Höfn í Hornafirði",8926044,,,No Website,
Bílhúsið ehf,bílaverkstæði,"Smiðjuvegi 60d, rauð gata, 200 Kópavogi",5572540,bilhusid@bilhusid.is,https://www.bilhusid.is/,Modern,
Jeppaþjónustan Breytir ehf,bílaverkstæði,"Stórhöfða 35, 110 Reykjavík",8940630,breytir@breytir.is,http://www.breytir.is,Modern,
Bílamálunin Varmi,bílaverkstæði,"Auðbrekku 14, 200 Kópavogi",5642141,varmi@varmiehf.is,https://varmiehf.is/,Broken/Down,
Neyðarþjónusta Austurlands 2,dráttarbílaþjónusta,"Valgerðarvegi 1a, 701 Egilsstöðum",8926044,towing@towing.is,http://towing.is,Modern,
Vélrás bifreiða- og vélaverkstæði,"bílaverkstæði, smurstöð","Álhellu 4, 221 Hafnarfirði",5556670,,,No Website,
Réttur ehf réttingaverkstæði,bílaverkstæði,"Skútuvogi 12h, 104 Reykjavík",5876350,retturehf@retturehf.is,https://www.retturehf.is/,SSL Error,
Bifreiðaverkstæðið Stormur ehf,bílaverkstæði,"Aðalstræti 84, 450 Patreksfirði",4561124,,,No Website,
Bílaverkstæði Austurlands ehf,bílaverkstæði,"Miðási 2, 700 Egilsstöðum",4712399,,http://bva.is,Modern,
Bílvogur Bifreiðaverkstæði,bílaverkstæði,"Auðbrekku 17, 200 Kópavogi",5641180,bilvogur@bilvogur.is,https://www.bilvogur.is/,Modern,
Nýsprautun ehf,bílaverkstæði,"Njarðarbraut 13-15, 260 Reykjanesbæ",4212999,nysprautun@nysprautun.is,https://www.nysprautun.is,Modern,
Felgur.is,"bílaverkstæði, bílaréttingar, varahlutaverslun","Axarhöfða 16, 110 Reykjavík",5673322,felgur@felgur.is,https://www.felgur.is/,Modern,
Bifreiðaverkstæði Sigursteins ehf,bílaverkstæði,"Selnesi 30, 760 Breiðdalsvík",8606813,,,No Website,
Bílson ehf verkstæðið,bílaverkstæði,"Kletthálsi 9, 110 Reykjavík",5681090,bilson@bilson.is,https://www.creditinfo.is/framurskarandi/,Modern,
Bílhagur ehf.,bílaverkstæði,"Funahöfða 17a, 110 Reykjavík",5462018,bilhagur@bilhagur.is,,No Website,
Bílvirkinn ehf.,bílaverkstæði,"Járnhálsi 6, 110 Reykjavík",5812050,bilvirkinn@bilvirkinn.is,https://www.bilvirkinn.is/,Modern,
Framrás ehf,vinnuvélar,"Smiðjuvegi 17, 870 Vík",8923568,,,No Website,
Glitur ehf bílamálun og réttingar,bílaverkstæði,"Suðurlandsbraut 16, 108 Reykjavík",5883111,glitur@glitur.is,https://www.glitur.is/,Modern,
Vökvatengi ehf,bílaverkstæði,"Fitjabraut 2, 260 Reykjanesbæ",8214980,,https://www.creditinfo.is/framurskarandi/,Modern,
Vélar og viðgerðir,bílaverkstæði,"Suðurhrauni 2, 210 Garðabæ",7816042,vidgerdir@velarogvidgerdir.is,https://velarogvidgerdir.is/,Modern,
Víkurós ehf bílamálun,bílaverkstæði,"Bæjarflöt 6, 112 Reykjavík",5877760,vikuros@vikuros.is,https://www.vikuros.is/,Modern,
Bílaverkstæðið Smur- og dekk,"smurstöð, hjólbarðaverkstæði, dráttarbílaþjónusta","Mikladalsvegi 11, 450 Patreksfirði",8962815,palli@patro.is,,No Website,
Bifreiðaverkstæðið ÁS ehf,bílaverkstæði,"Lynghálsi 12, 110 Reykjavík",5683003,as.v@internet.is,,No Website,
Bílaréttingar Smart-réttinga,bílaverkstæði,"Kaplahrauni 10, 220 Hafnarfirði",5554160,,,No Website,
Bílaverkstæði Hjalta ehf,bílaverkstæði,"Smiðjuvöllum 15, 300 Akranesi",4311376,bvhjalta@bvhjalta.is,,No Website,
Sprautu- og bifreiðaverkstæði Borgarness sf,bílaverkstæði,"Sólbakka 5, 310 Borgarnesi",4371284,,,No Website,
Bílaverkstæði Hafsteins slf,bílaverkstæði,"Viðarhöfða 6, 110 Reykjavík",6180858,bvhafsteins@internet.is,,No Website,
BV ehf verkstæði,bílaverkstæði,"Iðavöllum 8, 230 Reykjanesbæ",8936277,,,No Website,
Vélastilling sf,"bílaverkstæði, hjólbarðaverkstæði","Auðbrekku 19, 200 Kópavogi",5543140,,,No Website,
Bílaverkstæði Einars Þórs,bílaverkstæði,"Bæjarflöt 8, 112 Reykjavík",5670080,bilav@simnet.is,,No Website,
Bifreiðaverkstæði Kópavogs ehf,bílaverkstæði,"Desjamýri 8, 270 Mosfellsbæ",5871350,bifkop@bifkop.is,https://bifkop.is/,Broken/Down,
H Tholl bílaverkstæði,bílaverkstæði,"Nesvegi 13, 340 Stykkishólmi",8551711,,,No Website,
CAR-MED ehf bílaverkstæði,bílaverkstæði,"Dalvegi 24, 201 Kópavogi",8238046,,http://www.car-med.is,Modern,
Bíliðjan ehf,bílaverkstæði,"Unubakka 48, 815 Þorlákshöfn",4833540,,,No Website,
Hjólastillingar ehf,bílaverkstæði,"Hamarshöfða 3, 110 Reykjavík",5874955,hjolastilling@gmail.com,,No Website,
Almenna bílaverkstæðið ehf,bílaverkstæði,"Skeifunni 5, 108 Reykjavík",5889866,almenna@abv.is,https://abv.is/,Aging,
Bílaverkstæði Gunnars Pálma ehf,bílaverkstæði,"Bugðuleiru 6, 780 Höfn í Hornafirði",4782041,palmifreyr@gmail.com,,No Website,
Bílabær sf bifreiðaþjónusta,bílaverkstæði,"Brákarbraut 5, 310 Borgarnesi",6925525,bilabaer@bilabaer.is,,No Website,
Kvikkfix,bílaverkstæði,"Eyrartröð 7-9, 220 Hafnarfirði",5751500,kvikkfix@kvikkfix.is,https://www.kvikkfix.is/,Modern,
Bíla- og vélaverkstæði Harðar og Matta ehf,bílaverkstæði,"Básum 3, 900 Vestmannaeyjum",4813074,bilavhm@gmail.com,,No Website,
Bifreiðaverkstæði Íslands / Partaland,varahlutaverslun,"Stórhöfða 18, 110 Reykjavík",5674100,partaland@partaland.is,http://www.partaland.is,Old/Outdated,
Örtölvur/Bílás ehf,"raftækjaverkstæði, bílaverkstæði","Víkurheiði 11a, 800 Selfossi",8521777,ortolvurehf@simnet.is,http://ortolvur.com,Old/Outdated,
Mars Bílaþjónusta ehf,bílaverkstæði,"Stórhöfða 38, 110 Reykjavík",5512346,,,No Website,
Bílatangi ehf bifreiðaverkstæði,bílaverkstæði,"Suðurgötu 9, 400 Ísafirði",4563800,bilatangi@bilatangi.is,,No Website,
Höldur bílaverkstæði,bílaverkstæði,"Þórsstíg 4, 600 Akureyri",4616060,verk@holdur.is,https://www.holdurverk.is/,Modern,
Cobolt verkstæði,bílaverkstæði,"Freyjunesi 6, 603 Akureyri",8917976,cobolt@cobolt.is,https://www.cobolt.is,Modern,
Bílaverkstæði SB ehf,bílaverkstæði,"Sindragötu 3, 400 Ísafirði",8919888,,,No Website,
Bílaverkstæði Sigurjóns,bílaverkstæði,"Flötum 20, 900 Vestmannaeyjum",4813235,,,No Website,
Réttingaverkstæði Sveins ehf,bílaverkstæði,"Eyrargötu 9, 740 Neskaupstað",8681380,rettingarsveins@simnet.is,,No Website,
Bílaverkstæði Ella,bílaverkstæði,"Bygggörðum 2b, 170 Seltjarnarnesi",6952071,bilaelli@gmail.com,,No Website,
Bíltak ehf,bílaverkstæði,"Hellismýri 1, 800 Selfossi",4823066,biltak@simnet.is,,No Website,
Bílasetrið sandblástur,bílaverkstæði,"Flugumýri 18b, 270 Mosfellsbæ",5868685,,,No Website,
Bílageirinn ehf,bílaverkstæði,"Grófinni 14a, 230 Reykjanesbæ",8939531,bilageirinn@bilageirinn.is,https://www.bilageirinn.is/,Broken/Down,
Bílaprýði,"bílaréttingar, bílamálun","Laufásgötu 5, 600 Akureyri",8958017,bilaprydi@bilaprydi.is,,No Website,
Múlatindur ehf bílaverkstæði,bílaverkstæði,"Múlavegi 13, 625 Ólafsfirði",4662194,,,No Website,
Álfahraun bifreiðaverkstæði,bílaverkstæði,"Vesturbakka 5f, 815 Þorlákshöfn",8449015,alfahraun@gmail.com,,No Website,
Smáréttingar ehf,bílaverkstæði,"Smiðjuvegi 38, gul gata, 200 Kópavogi",8954644,smarettingar@simnet.is,,No Website,
Bliki bílamálun og réttingar ehf,bílaverkstæði,"Smiðjuvegi 38, gul gata, 200 Kópavogi",5674477,bliki@blikinn.is,https://blikinn.is/,Modern,
Vélabær ehf,bílaverkstæði,"Bæ, 311 Borgarnesi (dreifbýli)",4351252,velabaer@vesturland.is,,No Website,
Búvélaverkstæðið og Hróarstindur,bílaverkstæði,"Skipanesi, 301 Akranesi (dreifbýli)",8975194,hroar@hroar.is,,No Website,
Bílaþjónustan Hellu ehf,bílaverkstæði,"Dynskálum 24, 850 Hellu",4875352,bilahellu@gmail.com,,No Website,
Bílaspítalinn ehf,bílaverkstæði,"Kaplahrauni 1, 220 Hafnarfirði",5654332,bsp@bsp.is,http://bilaspitalinn.is,Aging,
Bifvélavirkinn ehf,bílaverkstæði,"Steinhellu 4, 221 Hafnarfirði",5476600,bifvelavirkinn@bifvelavirkinn.is,https://www.bifvelavirkinn.is/,Aging,
Bílaverkstæði Jóns T Harðarsonar,bílaverkstæði,"Bíldshöfða 18, 110 Reykjavík",8983990,bill@centrum.is,,No Website,
Bílasmiðja SGB ehf,bílaverkstæði,"Seljalandsvegi 86, 400 Ísafirði",8473413,bilasmidja@gmail.com,,No Website,
Bifreiðaverkstæðið Pardus ehf,bílaverkstæði,"Suðurbraut, 565 Hofsósi",8688209,pardus@pardusehf.is,,No Website,
Bílaréttingar G Á K,bílaverkstæði,"Skemmuvegi 20, 200 Kópavogi",5571610,alpretting@simnet.is,,No Website,
Bílver ehf,bílaverkstæði,"Esjuvöllum 20, 300 Akranesi",8961359,reynir@bilver.is,,No Website,
Bílaverkstæði E E T bílar ehf,bílaverkstæði,"Þrúðvangi 36a, 850 Hellu",4875103,toppferd@mmedia.is,,No Website,
Bílatorgið Akureyri,bílaverkstæði,"Dalsbraut 1, 600 Akureyri",4642121,pust@simnet.is,https://bilatorgid.multiscreensite.com/,Modern,
Bifreiðaverkstæði Grafarvogs ehf,bílaverkstæði,"Gylfaflöt 24-30, 112 Reykjavík",5774477,bilavidgerdir@bilavidgerdir.is,,No Website,
Bílaverkstæði Edda K ehf,bílaverkstæði,"Brúarfljóti 3b, 270 Mosfellsbæ",6632572,eddik66@gmail.com,,No Website,
Bíla- og vélaverkstæðið Nethamar ehf,bílaverkstæði,"Flötum 21, 900 Vestmannaeyjum",4811216,,,No Website,
Véla- og bílaþjónusta Kristjáns ehf,bílaverkstæði,"Hafnarstræti 14, 470 Þingeyri",8946424,,,No Website,
Bílasprautun Íslands ehf,bílaverkstæði,"Kaplahrauni 9, 220 Hafnarfirði",5342001,,,No Website,
Bifreiðaverkstæðið Toppur ehf,bílaverkstæði,"Skemmuvegi 34, 200 Kópavogi",8930890,toppur@toppur.is,http://www.toppur.is,Modern,
Bifreiðaverkstæði Brands,bílaverkstæði,"Kaplahrauni 7d, 220 Hafnarfirði",5553555,bifbrands@gmail.com,,No Website,
Bifreiðaverkstæðið Baugsbót ehf,bílaverkstæði,"Frostagötu 1b, 603 Akureyri",4627033,baugsbot@simnet.is,,No Website,
Bílastjarnan bílasprautun og réttingar,bílaverkstæði,"Kletthálsi 1a, 110 Reykjavík",5678686,info@bilastjarnan.is,https://www.bilastjarnan.is/,Modern,
BB þjónustan,bílaverkstæði,"Bíldshöfða 14, 110 Reykjavík",5783366,birgir@bbthjonustan.is,,No Website,
Bílaþjónusta Péturs ehf,bílaverkstæði,"Vallholti 17, 800 Selfossi",4822050,billinn@mmedia.is,,No Website,
Bílaryðvörn hf,bílaverkstæði,"Bíldshöfða 5, 110 Reykjavík",5871390,,https://www.creditinfo.is/framurskarandi/,Modern,
Bílamálun Egilsstöðum ehf,bílaverkstæði,"Fagradalsbraut 21, 700 Egilsstöðum",4712035,bilamalun700@simnet.is,,No Website,
Bíley ehf,bílaverkstæði,"Leiruvogi 6, 730 Reyðarfirði",4741453,biley@islandia.is,,No Website,
Versus ehf,bílaverkstæði,"Suðurhrauni 2, 210 Garðabæ",8962591,versus@versus.is,https://versus.is/,Modern,
Réttingaverkstæði Jóns B ehf,bílaverkstæði,"Flugumýri 2, 270 Mosfellsbæ",6977685,,,No Website,
Bás ehf,bílaverkstæði,"Ránargötu 14, 580 Siglufirði",8937067,,,No Website,
Bílamálun Sigursveins ehf,bílaverkstæði,"Bíldshöfða 14, 110 Reykjavík",8975360,bilamalunsig@simnet.is,,No Website,
SS Gíslason viðgerðir ehf,bílaverkstæði,"Völuteigi 25, 270 Mosfellsbæ",8943229,ssgisla@simnet.is,,No Website,
Bílaverkstæðið Rauðalæk ehf,bílaverkstæði,"Rauðalæk, 851 Hellu (dreifbýli)",4875402,bvr@simnet.is,,No Website,
Bílamálun Pálmars ehf,bílaverkstæði,"Vagnhöfða 20, 110 Reykjavík",8973530,bmp@bmp.is,,No Website,
Bifreiðaverkstæðið Klettur ehf,bílaverkstæði,"Hrísmýri 3, 800 Selfossi",4824012,klettur@kletturehf.is,,No Website,
Áki bifreiðaþjónusta sf,"bílasala, bílaverkstæði, smurstöð, heildverslun","Borgarflöt 19c, 550 Sauðárkróki",8995227,,,No Website,
Betri bílar ehf,bílaverkstæði,"Skeifunni 5c, 108 Reykjavík",5681411,betribilar@simnet.is,,No Website,
Bifreiðaverkstæðið Höfði slf,bílaverkstæði,"Hamarshöfða 6, 110 Reykjavík",5780118,hofdi6@gmail.com,,No Website,
Bílaþjónustan Bakki ehf,bílaverkstæði,"Sjávargötu 3, 245 Sandgerði",8603574,,,No Website,
KRISS Bílaþjónusta ehf.,bílaverkstæði,"Dalshrauni 11, 220 Hafnarfirði",6979034,,,No Website,
Bifreiðaverkstæði Ægis slf,bílaverkstæði,"Hafnargötu 12, 360 Hellissandi",4366677,,,No Website,
Shade filmulausnir,bílaverkstæði,"Gjáhellu 17, 221 Hafnarfirði",6181000,,,No Website,
911 Bílaþjónustan,bílaverkstæði,"Hvaleyrarbraut 2, 220 Hafnarfirði",5870911,,,No Website,
Bifreiðaverkstæði Árna H Árnasonar,bílaverkstæði,"Eldshöfða 10, 110 Reykjavík",5673444,,,No Website,
Bílastöðin,bílaverkstæði,"Skútahrauni 3, 220 Hafnarfirði",5888830,,,No Website,
DogC ehf,bílaverkstæði,"Funahöfða 17, 110 Reykjavík",6951359,,,No Website,
Bílafell,bílaverkstæði,"Bílsmiðjuseli 5, 700 Egilsstöðum",4711696,,,No Website,
Bílaréttingar Þórs ehf,bílaverkstæði,"Viðarhöfða 6, 110 Reykjavík",5870587,,,No Website,
Aðalbílar ehf,bílaverkstæði,"Suðurhellu 6, 221 Hafnarfirði",4544544,,,No Website,
Bílaþjónusta Valbergs ehf.,bílaverkstæði,"Hólmbergsbraut 17n, 230 Reykjanesbæ",7677500,,,No Website,
Bílaverkstæði Högna,bílaverkstæði,"Trönuhrauni 2, 220 Hafnarfirði",5552622,,,No Website,
Stjörnuverk ehf,bílaverkstæði,"Borgarröst 5, 550 Sauðárkróki",4535132,,,No Website,
Bílmálning ehf,bílaverkstæði,"Mánamörk 3, 810 Hveragerði",8677604,,,No Website,
Bifreiðaverkstæðið Bíltækni ehf,bílaverkstæði,"Smiðjuvegi 32, Rauð gata, 200 Kópavogi",5576080,,,No Website,
Bylur Verksjoppa ehf.,bílaverkstæði,"Steinhellu 5, 221 Hafnarfirði",5379952,,,No Website,
Bílaþjónusta Bjarka ehf,bílaverkstæði,"Viðarhöfða 2, 110 Reykjavík",4454540,,,No Website,
Bílrúðuísetningar Bárðar,bílaverkstæði,"Hamarshöfða 6, 110 Reykjavík",5670440,,,No Website,
Bílaverkstæði Sigurbjörns,bílaverkstæði,"Sæmundargötu 5b, 550 Sauðárkróki",4536464,,,No Website,
Bílaverkstæðið Bragginn sf,bílaverkstæði,"Flötum 20, 900 Vestmannaeyjum",8201560,,,No Website,
Bílafjörður ehf,bílaverkstæði,"Melabraut 26, 220 Hafnarfirði",7888855,,,No Website,
Bílaverkstæði Norðurlands ehf,bílaverkstæði,"Draupnisgötu 6, 603 Akureyri",4642111,,,No Website,
Bifreiðastillingin ehf,"bílaverkstæði, varahlutaverslun","Smiðjuvegi 40d, rauð gata, 200 Kópavogi",5576400,,,No Website,
AFB ehf,bílaverkstæði,"Súðarvogi 28, 104 Reykjavík",7760100,,,No Website,
Ásco ehf,bílarafmagn,"Glerárgötu 34b, 600 Akureyri",8448500,,,No Website,
Bifreiðaverkstæði Minn Bíll ehf.,bílaverkstæði,"Vagnhöfða 17, 110 Reykjavík",7638009,,,No Website,
Bílabarinn ehf réttingar & sprautun,bílaverkstæði,"Hamarshöfða 8, 110 Reykjavík",5873255,,,No Website,
Car-X ehf bifreiðaverkstæði,bílaverkstæði,"Njarðarnesi 8, 603 Akureyri",4624200,,,No Website,
Bifreiðaverkstæði Bílvík ehf,bílaverkstæði,"Smiðjuvegi 4e, 200 Kópavogi",5677535,,,No Website,
Bretti Réttingarverkstæði ehf,bílaverkstæði,"Smiðjuvegi 6c, græn gata, 200 Kópavogi",4408030,,,No Website,
Bílaskjól ehf,bílaverkstæði,"Akralind 3, 201 Kópavogi",5640900,,,No Website,
Bílaverkstæði Nóa Ben,bílaverkstæði,"Skemmuvegi 22, bleik gata, 200 Kópavogi",5571214,,,No Website,
X5 ehf,bílaverkstæði,"Gagnheiði 34, 800 Selfossi",8933305,,,No Website,
Bílaverkstæði Guðmundar Eyjólfssonar,bílaverkstæði,"Dalshrauni 9, 220 Hafnarfirði",5551353,,,No Website,
Rafstilling ehf.,"bílaverkstæði, raftækjaverkstæði, varahlutaverslun","Skemmuvegi 46, Bleik gata, 200 Kópavogi",5814991,,,No Website,
Neseyri,bílaverkstæði,"Eyrargötu 9, 740 Neskaupstað",4771025,,,No Website,
Sprautu og bifreiðaverkstæði Borgarness sf.,bílaréttingar og málun,"Sólbakka 5, 310 Borgarnesi",4371580,,,No Website,
Bifreiðaverkstæði Mosfellsbæjar,bílaverkstæði,"Flugumýri 2, 270 Mosfellsbæ",5666216,,,No Website,
Bílaverkstæði Birgis ehf,bílaverkstæði,"Grandatröð 2, 220 Hafnarfirði",4662592,,,No Website,
Bifreiðaverkstæði Sigurðar Guðmundssonar,bílaverkstæði,"Garðbraut 35, 250 Garði",4227272,,,No Website,
Bílaverkstæði Þóris ehf,bílaverkstæði,"Iðavöllum 6, 230 Reykjanesbæ",4214620,,,No Website,
Bílaverkstæði Muggs,bílaverkstæði,"Strandvegi 65, 900 Vestmannaeyjum",4812513,,,No Website,
Bílaverkstæði Hofs ehf,bílaverkstæði,"Hofshvammur, 785 Öræfum",8220020,,,No Website,
HÁ Bílar ehf.,bílaverkstæði,"Dalbraut 16, 300 Akranesi",8212550,,,No Website,
Bílaverkstæði Badda ehf,bílaverkstæði,"Akrakotslandi Tún, 301 Akranesi (dreifbýli)",8983440,,,No Website,
BT Bílar ehf.,bílaverkstæði,"Rauðhellu 7, 221 Hafnarfirði",7790009,,,No Website,
Bílaverkstæði Íslands,bílaverkstæði,"Suðurhellu 6, 221 Hafnarfirði",5112012,,,No Website,
Bílaþjónusta Reykjaness,bílaverkstæði,"Heiðarbraut 2, 230 Reykjanesbæ",8485619,,,No Website,
Bílfix slf,bílaverkstæði,"Smiðshöfða 13, 110 Reykjavík",7783911,,,No Website,
Bílverk B Á ehf,bílaverkstæði,"Gagnheiði 3, 800 Selfossi",8995424,,,No Website,
Bílaverkstæðið Spindill ehf,bílaverkstæði,"Viðarhöfða 2, 110 Reykjavík",5572980,,,No Website,
Bíla- og vélaverkstæði BHS ehf,bílaverkstæði,"Fossbrún 2, 621 Dalvík (dreifbýli)",4661810,,,No Website,
Bifreiðaverkstæðið Kúpling ehf,bílaverkstæði,"Burknavöllum 5, 221 Hafnarfirði",5556560,,,No Website,
Bílapunkturinn ehf,bílaverkstæði,"Grófinni 7, 230 Reykjanesbæ",4212235,,,No Website,
Bílaþjónustan Afl ehf,bílaverkstæði,"Suðurlandsvegi 2, 850 Hellu",7714280,,,No Website,
TS bílar ehf,"bílaverkstæði, varahlutaverslun","Fossnesi 14, 800 Selfossi",4808010,,,No Website,
Bílasmiðjan ses.,bílaverkstæði,"Lækjarvöllum 1, 604 Akureyri (dreifbýli)",7606049,,,No Website,
Tengsli sf bifreiðaverkstæði,bílaverkstæði,"Súðarvogi 34, 104 Reykjavík",5686860,,,No Website,
Bílaiðn ehf,"bílaverkstæði, bílaréttingar, bílamálun","Suðurlandsbraut 6, 108 Reykjavík",5687577,,,No Website,
AMG Aukaraf ehf,bílaverkstæði,"Dalbrekku 16, 200 Kópavogi",5850000,,,No Website,
Hemill ehf,bílaverkstæði,"Skemmuvegi 18, blá gata, 200 Kópavogi",5578990,,,No Website,
VS ehf,bílaverkstæði,"Eldshöfða 16, 110 Reykjavík",8881123,,,No Website,
G K viðgerðir ehf,bílaverkstæði,"Flugumýri 16c, 270 Mosfellsbæ",5666257,,,No Website,
Bílamál ehf,bílaverkstæði,"Skemmuvegi 26, blá gata, 200 Kópavogi",5340016,,,No Website,
Bíla-Doktorinn,bílaverkstæði,"Hólabergi 82, 111 Reykjavík",5525757,,,No Website,
Hg bílar,bílaverkstæði,"Suðurhellu 6, 221 Hafnarfirði",4267566,,,No Website,
Bílaverkstæðið Virkinn ehf,bílaverkstæði,"Flatahrauni 21, 220 Hafnarfirði",5553440,,,No Website,
Hetty ehf.,bílaverkstæði,"Heiðargerði 4, 803 Selfossi (dreifbýli)",,,,No Website,
Amizu ehf.,bílaverkstæði,"Bugðufljóti 15l, 270 Mosfellsbæ",7778256,,,No Website,
Bílaverkstæði Jóhanns ehf,bílaverkstæði,"Austurmörk 13, 810 Hveragerði",4834299,,,No Website,
